Gene	s1_p16_neg_PBS	s2_p16_neg_PBS	s3_p16_neg_PBS	s4_p16_neg_PBS	s1_p16_pos_PBS	s2_p16_pos_PBS	s3_p16_pos_PBS	s4_p16_pos_PBS	s1_p16_neg_LPS	s2_p16_neg_LPS	s3_p16_neg_LPS	s4_p16_neg_LPS	s1_p16_pos_LPS	s2_p16_pos_LPS	s3_p16_pos_LPS	s4_p16_pos_LPS
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0610009E02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009L18Rik	0	2	0	1	0	0	1	1	0	0	0	1	2	0	0	5
0610010F05Rik	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3
0610010K14Rik	1	6	11	21	0	8	14	53	5	7	12	28	11	20	6	75
0610012G03Rik	0	4	4	14	0	4	9	23	2	8	9	32	11	16	6	95
0610030E20Rik	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0610040B10Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0610040J01Rik	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	1
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002L01Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
1110004F10Rik	0	1	1	2	0	2	1	4	0	0	2	4	0	2	1	15
1110006O24Rik	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
1110008P14Rik	1	5	7	12	1	4	20	37	9	6	7	62	6	21	11	163
1110012L19Rik	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	2	2	1	1	0	8	2	5	5	1	3	3	1	36	0	9
1110019D14Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1110020A21Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110038B12Rik	0	0	0	0	0	1	0	2	0	0	1	7	2	2	1	14
1110038F14Rik	1	3	8	14	4	6	20	39	4	2	3	36	6	21	4	90
1110046J04Rik	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
1110051M20Rik	0	2	1	5	0	8	5	11	0	5	5	4	2	12	2	20
1110058D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1110059E24Rik	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1
1110059G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	0	0	1	2	1	2	2	7	0	2	1	6	1	1	1	15
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	0	0	0	0	1	0	2	2	1	3	0	3	2	2	0	4
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300002E11Rik	0	0	0	0	0	0	2	2	1	0	0	3	0	0	1	4
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
