Gene	s11_EpCam_wt_PBS	s16_EpCam_wt_PBS	s1_EpCam_wt_PBS	s2_EpCam_wt_PBS	s6_EpCam_wt_PBS	s14_EpCam_wt_LPS	s18_EpCam_wt_LPS	s4_EpCam_wt_LPS	s6_CD45_wt_PBS	s14_CD45_wt_LPS	s4_CD45_wt_LPS	s16_CD31_wt_PBS	s9_CD31_wt_LPS	s2_CD31_wt_PBS	s11_CD31_wt_PBS	s1_CD31_wt_PBS	s9_CD45_wt_LPS	s2_CD45_wt_PBS	s11_CD45_wt_PBS	s18_CD31_wt_LPS	s18_CD45_wt_LPS	s6_CD31_wt_PBS	s14_CD31_wt_LPS	s16_CD45_wt_PBS	s1_CD45_wt_PBS	s4_CD31_wt_LPS	s13_CD45_wt_LPS
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0610009B22Rik	109	166	81	98	81	59	168	126	18	26	26	53	64	30	8	39	33	40	27	52	28	28	35	24	7	50	17
0610009E02Rik	14	18	16	15	11	18	32	38	2	4	3	4	4	3	2	6	3	2	1	6	3	2	9	0	3	3	1
0610009L18Rik	72	58	38	69	55	74	74	68	18	21	23	31	23	36	25	14	29	37	14	42	30	25	25	14	19	38	21
0610010F05Rik	10	22	14	20	13	19	30	27	7	8	5	18	19	16	10	13	16	11	5	22	12	19	25	8	3	19	2
0610010K14Rik	226	272	245	274	248	216	303	321	194	416	246	347	514	429	254	440	302	396	188	618	360	398	528	208	98	506	268
0610012G03Rik	301	361	261	302	265	316	481	386	202	352	240	259	434	325	224	298	383	317	154	491	431	321	572	258	115	398	228
0610030E20Rik	34	55	50	44	45	40	62	63	42	42	28	16	52	24	18	26	59	58	29	31	38	26	40	37	9	53	22
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	1	0	1	1	1	1	0	2	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1
0610039H22Rik	0	0	3	1	0	1	0	0	6	10	11	0	2	0	0	1	7	9	4	0	3	1	1	6	2	0	5
0610039K10Rik	2	1	0	1	1	0	2	1	0	0	0	3	10	6	2	1	3	6	1	6	1	1	4	2	2	4	0
0610040B10Rik	5	6	6	3	9	3	5	3	2	2	2	3	8	4	1	2	2	1	1	3	3	4	2	0	0	4	2
0610040F04Rik	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1
0610040J01Rik	67	101	175	143	149	186	339	244	9	10	16	2	10	9	2	9	15	23	2	8	29	2	17	8	2	7	1
0610043K17Rik	2	1	0	1	0	0	3	2	3	2	1	2	3	2	2	2	3	3	1	2	2	2	3	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	1	0	0	0	1	0	1	1	2	0	2	1	0	0	2	0	0	0	3	0	0	0	0	0	0
1110002L01Rik	19	16	25	20	12	15	25	35	10	7	8	9	28	7	4	7	12	17	9	8	3	7	8	7	5	12	2
1110004F10Rik	183	181	209	236	200	180	314	287	105	243	169	119	332	173	138	169	214	294	99	276	203	176	248	116	49	262	130
1110006O24Rik	3	5	6	10	9	11	11	15	2	10	8	8	9	5	2	8	7	10	3	10	8	10	14	1	1	8	11
1110008P14Rik	354	410	274	308	419	317	533	430	140	246	206	66	160	101	48	67	284	299	122	152	327	65	156	176	68	131	156
1110012L19Rik	51	67	53	62	57	57	84	80	32	60	45	64	69	47	24	48	52	65	45	70	47	46	44	48	11	74	28
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	587	774	905	796	223	1298	1810	1530	4	31	20	17	35	34	11	32	27	33	17	37	49	18	91	10	10	46	0
1110019D14Rik	6	4	4	5	4	4	9	14	0	0	0	3	3	5	1	1	1	2	0	2	1	2	3	1	0	4	2
1110020A21Rik	4	11	9	11	19	7	21	23	2	8	2	4	2	2	2	0	6	6	9	4	1	3	1	3	1	3	4
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
